iter	Passed	Remaining
0	142	142717
1	144	72237
2	146	48655
3	148	36948
4	150	29949
5	152	25206
6	153	21793
7	154	19197
8	155	17144
9	156	15524
10	157	14181
11	158	13044
12	159	12079
13	159	11245
14	160	10527
15	161	9901
16	161	9346
17	162	8853
18	162	8411
19	163	8014
20	164	7666
21	165	7339
22	165	7037
23	166	6763
24	166	6509
25	167	6280
26	168	6062
27	168	5864
28	169	5673
29	170	5498
30	170	5338
31	171	5187
32	172	5043
33	172	4908
34	173	4781
35	174	4659
36	174	4546
37	175	4437
38	175	4333
39	176	4234
40	177	4141
41	177	4051
42	178	3967
43	178	3887
44	179	3812
45	180	3736
46	180	3665
47	181	3597
48	182	3534
49	182	3472
50	183	3412
51	184	3355
52	184	3297
53	185	3242
54	185	3190
55	186	3140
56	186	3093
57	187	3047
58	188	3003
59	188	2958
60	189	2915
61	190	2874
62	190	2834
63	191	2795
64	191	2757
65	192	2720
66	192	2685
67	193	2647
68	193	2614
69	194	2581
70	194	2550
71	195	2519
72	196	2490
73	196	2461
74	197	2432
75	197	2404
76	198	2377
77	198	2350
78	199	2324
79	199	2299
80	200	2275
81	201	2251
82	201	2228
83	202	2205
84	202	2180
85	203	2158
86	203	2136
87	204	2115
88	204	2095
89	205	2075
90	205	2056
91	206	2037
92	206	2018
93	207	2000
94	208	1982
95	208	1965
96	209	1948
97	209	1931
98	210	1914
99	210	1898
100	211	1883
101	212	1866
102	212	1851
103	213	1837
104	213	1822
105	214	1809
106	215	1794
107	215	1781
108	216	1767
109	216	1753
110	217	1740
111	217	1727
112	218	1714
113	219	1702
114	219	1690
115	220	1677
116	220	1665
117	221	1654
118	221	1642
119	222	1630
120	223	1620
121	223	1608
122	223	1596
123	224	1585
124	224	1574
125	225	1564
126	226	1554
127	226	1542
128	226	1532
129	227	1523
130	228	1513
131	228	1504
132	229	1495
133	229	1485
134	230	1476
135	231	1467
136	231	1458
137	232	1449
138	232	1440
139	233	1432
140	233	1423
141	234	1415
142	234	1406
143	235	1399
144	235	1390
145	236	1382
146	237	1375
147	237	1367
148	238	1359
149	238	1351
150	239	1344
151	239	1337
152	240	1329
153	240	1322
154	241	1315
155	241	1308
156	242	1301
157	242	1294
158	243	1287
159	244	1281
160	244	1274
161	245	1268
162	245	1261
163	246	1255
164	246	1249
165	247	1242
166	247	1236
167	248	1230
168	249	1224
169	249	1218
170	250	1212
171	250	1206
172	251	1200
173	251	1194
174	252	1189
175	252	1183
176	253	1178
177	253	1172
178	254	1167
179	255	1161
180	255	1155
181	255	1150
182	256	1144
183	256	1139
184	257	1134
185	258	1129
186	258	1124
187	259	1119
188	259	1115
189	260	1110
190	261	1105
191	261	1100
192	262	1096
193	262	1091
194	263	1087
195	263	1082
196	264	1078
197	265	1073
198	265	1069
199	266	1064
200	266	1060
201	267	1055
202	267	1051
203	268	1046
204	268	1042
205	269	1038
206	269	1034
207	270	1030
208	271	1026
209	271	1021
210	272	1017
211	272	1013
212	273	1009
213	273	1005
214	274	1001
215	274	997
216	275	994
217	276	990
218	276	986
219	277	983
220	277	979
221	278	975
222	278	972
223	279	968
224	279	964
225	280	960
226	281	957
227	281	953
228	282	950
229	282	946
230	283	942
231	283	939
232	284	935
233	285	933
234	285	929
235	286	926
236	286	923
237	287	919
238	287	916
239	288	912
240	288	909
241	289	906
242	289	903
243	290	899
244	291	896
245	291	893
246	292	890
247	292	887
248	293	884
249	293	881
250	294	878
251	294	875
252	295	872
253	295	869
254	296	866
255	296	863
256	297	860
257	298	857
258	298	854
259	299	851
260	299	848
261	300	846
262	300	843
263	301	840
264	301	837
265	302	834
266	303	832
267	303	829
268	304	826
269	304	824
270	305	821
271	305	818
272	306	815
273	306	813
274	307	810
275	308	808
276	308	805
277	309	802
278	309	800
279	310	797
280	310	795
281	311	792
282	311	790
283	312	787
284	313	785
285	313	783
286	314	781
287	315	779
288	315	777
289	316	775
290	317	773
291	317	771
292	318	768
293	319	766
294	319	764
295	320	762
296	321	760
297	321	758
298	322	756
299	323	754
300	323	752
301	324	750
302	325	747
303	325	745
304	326	743
305	327	742
306	327	740
307	328	738
308	329	735
309	329	733
310	330	731
311	331	729
312	331	727
313	332	725
314	332	723
315	333	721
316	334	719
317	334	717
318	335	716
319	336	714
320	336	712
321	337	710
322	337	708
323	338	706
324	339	704
325	340	703
326	340	701
327	342	701
328	342	699
329	343	697
330	344	695
331	344	693
332	345	691
333	345	689
334	346	687
335	346	685
336	347	683
337	347	681
338	348	679
339	349	677
340	349	675
341	350	674
342	351	672
343	351	670
344	352	668
345	353	667
346	353	665
347	354	663
348	355	662
349	355	660
350	356	658
351	357	657
352	357	655
353	358	654
354	359	652
355	359	650
356	360	649
357	361	647
358	361	646
359	362	644
360	363	643
361	364	641
362	364	640
363	365	638
364	366	637
365	366	635
366	367	634
367	368	632
368	369	631
369	369	629
370	370	628
371	371	626
372	371	624
373	372	623
374	373	622
375	374	620
376	374	619
377	375	617
378	376	616
379	376	614
380	377	612
381	377	611
382	378	609
383	379	608
384	380	607
385	380	605
386	381	604
387	382	602
388	382	601
389	383	599
390	383	597
391	384	596
392	385	594
393	385	593
394	386	591
395	386	590
396	387	588
397	388	587
398	388	585
399	389	583
400	389	582
401	390	581
402	391	579
403	392	578
404	392	577
405	393	575
406	394	574
